tar_thresh,precision,recall,f1,tp,fp,fn
-14.746196746826172,0.05693950177935943,0.08,0.06652806652806653,16,265,184
-14.802188873291016,0.06028368794326241,0.085,0.07053941908713693,17,265,183
-14.82536506652832,0.06007067137809187,0.085,0.07039337474120083,17,266,183
-14.836907386779785,0.05985915492957746,0.085,0.07024793388429752,17,267,183
-14.853190422058105,0.06315789473684211,0.09,0.07422680412371134,18,267,182
-14.907692909240723,0.06643356643356643,0.095,0.07818930041152264,19,267,181
-14.9407958984375,0.06620209059233449,0.095,0.07802874743326489,19,268,181
-14.981537818908691,0.06597222222222222,0.095,0.0778688524590164,19,269,181
-15.027342796325684,0.0657439446366782,0.095,0.07770961145194274,19,270,181
-15.110138893127441,0.06896551724137931,0.1,0.08163265306122448,20,270,180
-15.154999732971191,0.06872852233676977,0.1,0.0814663951120163,20,271,180
-15.209068298339844,0.07191780821917808,0.105,0.08536585365853659,21,271,179
-15.224714279174805,0.07508532423208192,0.11,0.08924949290060853,22,271,178
-15.231773376464844,0.07482993197278912,0.11,0.08906882591093117,22,272,178
-15.286870002746582,0.07457627118644068,0.11,0.08888888888888889,22,273,178
-15.346785545349121,0.0777027027027027,0.115,0.09274193548387097,23,273,177
-15.41763687133789,0.08080808080808081,0.12,0.096579476861167,24,273,176
-15.48414134979248,0.08053691275167785,0.12,0.09638554216867469,24,274,176
-15.498613357543945,0.0802675585284281,0.12,0.09619238476953908,24,275,176
-15.564334869384766,0.08333333333333333,0.125,0.1,25,275,175
-15.623516082763672,0.08637873754152824,0.13,0.10379241516966067,26,275,174
-15.628292083740234,0.08940397350993377,0.135,0.10756972111553784,27,275,173
-15.68743896484375,0.0891089108910891,0.135,0.1073558648111332,27,276,173
-15.819425582885742,0.09210526315789473,0.14,0.1111111111111111,28,276,172
-15.895838737487793,0.09180327868852459,0.14,0.11089108910891089,28,277,172
-15.911642074584961,0.0915032679738562,0.14,0.11067193675889327,28,278,172
-15.930166244506836,0.09120521172638436,0.14,0.11045364891518739,28,279,172
-16.08468246459961,0.09415584415584416,0.145,0.1141732283464567,29,279,171
-16.127592086791992,0.09385113268608414,0.145,0.11394891944990176,29,280,171
-16.143310546875,0.0935483870967742,0.145,0.11372549019607844,29,281,171
-16.156957626342773,0.0932475884244373,0.145,0.11350293542074365,29,282,171
-16.159231185913086,0.09294871794871795,0.145,0.11328125,29,283,171
-16.26055908203125,0.0926517571884984,0.145,0.11306042884990253,29,284,171
-16.27235984802246,0.09554140127388536,0.15,0.11673151750972763,30,284,170
-16.288372039794922,0.09523809523809523,0.15,0.11650485436893203,30,285,170
-16.29667091369629,0.0949367088607595,0.15,0.11627906976744186,30,286,170
-16.340591430664062,0.0946372239747634,0.15,0.11605415860735009,30,287,170
-16.36338996887207,0.09748427672955975,0.155,0.1196911196911197,31,287,169
-16.372615814208984,0.09717868338557993,0.155,0.11946050096339114,31,288,169
-16.392824172973633,0.096875,0.155,0.11923076923076922,31,289,169
-16.407350540161133,0.09657320872274143,0.155,0.11900191938579655,31,290,169
-16.417171478271484,0.09627329192546584,0.155,0.11877394636015326,31,291,169
-16.418827056884766,0.09597523219814241,0.155,0.11854684512428297,31,292,169
-16.419822692871094,0.09567901234567901,0.155,0.11832061068702289,31,293,169
-16.427915573120117,0.09538461538461539,0.155,0.11809523809523811,31,294,169
-16.442033767700195,0.09815950920245399,0.16,0.12167300380228137,32,294,168
-16.447235107421875,0.09785932721712538,0.16,0.12144212523719165,32,295,168
-16.478527069091797,0.0975609756097561,0.16,0.12121212121212122,32,296,168
-16.4786319732666,0.0972644376899696,0.16,0.12098298676748583,32,297,168
-16.523754119873047,0.09696969696969697,0.16,0.12075471698113208,32,298,168
-16.524850845336914,0.09667673716012085,0.16,0.12052730696798493,32,299,168
-16.53738784790039,0.0963855421686747,0.16,0.12030075187969926,32,300,168
-16.58047866821289,0.0990990990990991,0.165,0.12382739212007503,33,300,167
-16.626426696777344,0.09880239520958084,0.165,0.12359550561797755,33,301,167
-16.66530418395996,0.10149253731343283,0.17,0.12710280373831778,34,301,166
-16.671234130859375,0.10119047619047619,0.17,0.12686567164179105,34,302,166
-16.707483291625977,0.10089020771513353,0.17,0.1266294227188082,34,303,166
-16.796632766723633,0.10059171597633136,0.17,0.12639405204460968,34,304,166
-16.803253173828125,0.10029498525073746,0.17,0.1261595547309833,34,305,166
-16.803634643554688,0.10294117647058823,0.175,0.12962962962962962,35,305,165
-16.84943199157715,0.10263929618768329,0.175,0.12939001848428835,35,306,165
-16.880165100097656,0.1023391812865497,0.175,0.12915129151291516,35,307,165
-16.9051570892334,0.10495626822157435,0.18,0.13259668508287292,36,307,164
-16.91583251953125,0.10465116279069768,0.18,0.1323529411764706,36,308,164
-16.958900451660156,0.1072463768115942,0.185,0.13577981651376145,37,308,163
-16.97332000732422,0.1069364161849711,0.185,0.13553113553113552,37,309,163
-16.990262985229492,0.10662824207492795,0.185,0.13528336380255943,37,310,163
-17.00994300842285,0.10919540229885058,0.19,0.13868613138686134,38,310,162
-17.047266006469727,0.10888252148997135,0.19,0.1384335154826958,38,311,162
-17.056081771850586,0.11142857142857143,0.195,0.14181818181818182,39,311,161
-17.14181900024414,0.1111111111111111,0.195,0.1415607985480944,39,312,161
-17.156108856201172,0.11079545454545454,0.195,0.14130434782608697,39,313,161
-17.174957275390625,0.11048158640226628,0.195,0.14104882459312837,39,314,161
-17.17941665649414,0.11299435028248588,0.2,0.1444043321299639,40,314,160
-17.2071475982666,0.11267605633802817,0.2,0.14414414414414414,40,315,160
-17.221296310424805,0.11235955056179775,0.2,0.14388489208633093,40,316,160
-17.22836685180664,0.11204481792717087,0.2,0.14362657091561942,40,317,160
-17.244779586791992,0.11452513966480447,0.205,0.14695340501792115,41,317,159
-17.287765502929688,0.11420612813370473,0.205,0.14669051878354203,41,318,159
-17.289714813232422,0.11388888888888889,0.205,0.1464285714285714,41,319,159
-17.294815063476562,0.11634349030470914,0.21,0.14973262032085563,42,319,158
-17.32004737854004,0.11602209944751381,0.21,0.1494661921708185,42,320,158
-17.34925651550293,0.1184573002754821,0.215,0.152753108348135,43,320,157
-17.39441680908203,0.11813186813186813,0.215,0.1524822695035461,43,321,157
-17.410348892211914,0.1178082191780822,0.215,0.15221238938053097,43,322,157
-17.41883087158203,0.11748633879781421,0.215,0.15194346289752653,43,323,157
-17.454654693603516,0.11716621253405994,0.215,0.15167548500881833,43,324,157
-17.456832885742188,0.11956521739130435,0.22,0.15492957746478875,44,324,156
-17.491546630859375,0.12195121951219512,0.225,0.15817223198594027,45,324,155
-17.507436752319336,0.12432432432432433,0.23,0.16140350877192983,46,324,154
-17.518991470336914,0.12398921832884097,0.23,0.16112084063047283,46,325,154
-17.536197662353516,0.12365591397849462,0.23,0.16083916083916086,46,326,154
-17.54845428466797,0.12332439678284182,0.23,0.16055846422338568,46,327,154
-17.55314064025879,0.12566844919786097,0.235,0.16376306620209058,47,327,153
-17.579214096069336,0.12533333333333332,0.235,0.1634782608695652,47,328,153
-17.580968856811523,0.125,0.235,0.16319444444444445,47,329,153
-17.584638595581055,0.1273209549071618,0.24,0.1663778162911612,48,329,152
